homework_1,homework_2,homework_3,quiz_1,quiz_2,midterm_score,final_exam,attendance_rate,final_score,performance_label
8.0,8.5,8.5,9.0,8.0,9.0,9.1,0.6,8.3,Excellent
6.0,5.0,5.5,5.5,6.0,5.0,4.7,0.8,5.1,Average
7.5,9.5,9.5,8.0,8.5,8.0,8.7,1.0,8.4,Excellent
4.5,5.0,5.0,2.5,7.0,4.0,4.8,0.8,4.7,Weak
5.0,4.5,5.0,4.5,5.5,5.0,5.4,0.7,5.1,Average
1.0,0.5,1.0,0.5,0.5,3.5,0.0,1.0,0.8,Weak
4.5,2.5,3.0,4.0,2.5,4.0,2.9,0.8,3.4,Weak
6.5,6.5,5.5,7.0,6.5,6.5,6.0,0.8,6.3,Average
5.0,6.5,6.5,7.0,4.5,5.5,5.7,0.8,5.6,Average
2.5,2.5,5.0,2.5,6.0,4.0,3.0,1.0,3.6,Weak
4.5,4.5,5.5,4.0,5.5,5.0,4.8,1.0,5.2,Average
3.5,5.5,4.0,4.5,5.0,5.0,5.4,0.7,5.0,Average
6.0,7.5,5.0,6.0,5.0,6.0,6.1,0.6,5.9,Average
5.0,6.5,6.5,5.0,6.5,4.5,5.5,0.85,5.4,Average
2.0,3.0,4.0,3.5,2.5,3.0,1.9,0.6,2.7,Weak
4.5,4.5,5.5,4.5,5.0,6.0,5.6,0.9,5.7,Average
5.5,6.0,7.5,5.0,5.5,5.5,5.6,0.6,5.6,Average
5.5,3.0,4.5,2.5,4.5,3.0,3.6,0.9,3.4,Weak
7.5,7.0,8.0,7.0,7.0,7.0,7.0,0.8,7.1,Good
5.5,5.5,4.5,4.0,6.5,4.5,4.7,0.9,4.8,Weak
5.5,5.5,7.5,5.5,5.5,5.5,5.7,0.9,5.6,Average
4.0,1.5,4.0,2.5,2.0,4.0,0.1,1.0,2.1,Weak
7.0,7.5,4.0,5.0,5.0,6.5,5.4,0.6,5.8,Average
8.0,7.5,8.5,7.5,7.5,6.5,7.6,1.0,7.4,Good
6.5,7.0,5.0,6.0,5.5,6.0,6.2,0.7,6.0,Average
7.0,7.0,4.5,6.5,6.0,6.5,5.4,0.6,5.7,Average
7.0,10.0,7.0,7.0,7.0,7.5,6.9,0.8,7.5,Good
0.0,0.5,0.0,0.0,0.0,2.5,0.0,1.0,0.7,Weak
5.0,5.5,4.5,5.5,4.0,5.5,5.6,0.6,5.6,Average
7.5,7.5,6.5,8.5,7.0,8.0,7.5,0.6,7.6,Good
8.5,9.0,8.5,8.0,8.0,8.5,9.1,0.6,8.9,Excellent
5.5,6.0,5.5,5.0,3.5,4.5,5.5,0.9,5.7,Average
6.5,6.5,5.5,7.0,6.5,6.5,5.9,0.8,6.3,Average
6.0,7.5,7.5,8.5,7.5,7.5,7.7,0.65,7.5,Good
6.0,6.0,6.5,4.5,5.5,6.0,6.0,0.6,5.8,Average
8.5,7.0,5.5,7.5,7.0,7.5,7.6,0.9,7.4,Good
7.0,8.0,8.0,9.0,8.0,8.5,7.3,1.0,7.7,Good
7.0,5.5,8.0,7.0,7.5,7.0,7.8,0.6,7.5,Good
